Province,2011 Total,2011 Male,2011 Female,2021 Total,2021 Male,2021 Female
Vidin,101018,49319,51699,75408,36342,39066
Vratsa,186848,92205,94643,152813,74365,78448
Lovech,141422,69326,72096,116394,56442,59952
Montana,148098,72841,75257,119950,58323,61627
Pleven,269752,132642,137110,226120,109165,116955
Veliko Tarnovo,258494,124936,133558,207371,99437,107934
Gabrovo,122702,59266,63436,98387,46640,51747
Razgrad,125190,61360,63830,103223,49727,53496
Ruse,235252,114501,120751,193483,92542,100941
Silistra,119474,59298,60176,97770,47340,50430
Varna,475074,232627,242447,432198,208123,224075
Dobrich,189677,93267,96410,150146,72082,78064
Targovishte,120818,59354,61464,98144,47746,50398
Shumen,180528,88389,92139,151465,73573,77892
Burgas,415817,203688,212129,380286,183233,197053
Sliven,197473,96564,100909,172690,83367,89323
Stara Zagora,333265,162771,170494,296507,142721,153786
Yambol,131447,64638,66809,109693,53375,56318
Blagoevgrad,323552,158606,164946,292227,142149,150078
Kyustendil,136686,66840,69846,111736,53764,57972
Pernik,133530,65421,68109,114162,54755,59407
Sofia,247489,121860,125629,231989,113283,118706
Sofia City,1291591,615493,676098,1274290,605777,668513
Kardzhali,152808,76029,76779,141177,69415,71762
Pazardzhik,275548,135780,139768,229814,111586,118228
Plovdiv,683027,329900,353127,634497,302604,331893
Smolyan,121752,59340,62412,96284,46221,50063
Haskovo,246238,120310,125928,211565,102165,109400