maakunta,Marriages,Divorces,Total change,Population
Uusimaa,1473,917,5229,1760144
Finland Proper,295,237,903,490790
Satakunta,89,99,-213,211754
Tavastia Proper,90,85,39,169575
Pirkanmaa,340,271,647,539339
Päijät-Häme,127,97,-151,204495
Kymenlaakso,86,91,-329,158636
South Karelia,68,54,-218,125190
Southern Savonia,51,39,-126,129896
Northern Savonia,139,111,9,248176
North Karelia,78,77,-211,162312
Central Finland,131,131,71,273319
South Ostrobothnia,104,96,145,190543
Ostrobothnia,106,75,149,177605
Keski-Pohjanmaa,32,21,64,67742
Northern Ostrobothnia,252,179,388,418212
Kainuu,26,22,-44,70149
Lapland,95,78,370,176134
Åland Islands,11,15,17,30547