country,2023,2022,2021,2020
ABD,14 825 891,16 885 325, 14 720 364,10 182 966
ABD Küçük Out.Adl.,63,50,931,43
ABD Virjin Adaları,633,815,1 453,329
Afganistan, 256 308, 269 837,258 637, 207 778
Almanya,21 079 349,21 141 783, 19 311 023,15 978 698
Amerikan Samoası,170,172,248,362
Andorra,788, 1 485,544,304
Angola, 128 919, 228 976,203 195, 183 339
Anguilla,338,224,167,255
Antarktika,48,0,42,5
Antigua ve Barbuda, 14 055, 13 720,9 022, 6 910
Arjantin, 170 532, 329 199,237 706, 153 795
Arnavutluk, 763 140, 990 616,790 149, 475 338
Aruba, 2 719, 2 268,1 346, 1 392
Avustralya, 944 264, 965 659,970 996, 726 850
Avusturya,1 731 048,1 778 932, 1 520 151,1 130 283
Azerbaycan,2 796 898,2 504 423, 2 342 789,2 085 340
BAE,8 567 800,5 252 673, 5 493 362,2 828 043
Bahamalar, 59 083, 43 793,47 843, 20 942
Bahreyn, 160 652, 214 703,173 164, 201 643
Bangladeş, 416 561, 551 635,572 922, 349 061
Barbados, 26 355, 25 493,17 909, 12 760
Belarus,1 683 213,1 126 128,915 331, 602 745
Belçika,4 366 153,4 778 506, 4 899 300,3 634 672
Belirlenemeyen Ülke ve Bölgeler, 335 184, 264 300,136 416, 87 258
Belize, 14 255, 9 345,8 678, 5 085
Benin, 104 309, 168 243,149 702, 117 883
Bermuda, 4 893, 1 481,1 395,441
Birleşik Krallık,12 463 815,13 004 798, 13 703 695,11 235 582
Bolivya, 26 614, 23 927,45 326, 21 889
Bosna0Hersek, 716 214, 755 420,646 545, 446 461
Botsvana, 2 747, 4 292,3 205, 4 778
Brezilya, 823 429, 999 763, 1 025 369, 588 802
Britanya Hint Okyanusu Toprakları,256,151,256,72
Britanya Virjin Ad., 26 485, 26 370,4 212, 13 556
Bruney, 3 777, 3 146,8 701, 2 006
Bulgaristan,4 226 663,4 721 645, 3 953 436,2 634 444
Burkina Faso, 119 967, 129 021,96 021, 65 606
Burundi, 12 772, 8 531,2 353, 2 898
Butan,340,696,73,7
Cabo Verde, 7 586, 9 975,10 343, 5 468
Cayman Adaları, 167 618, 150 462,160 415, 7 187
Cebelitarık, 100 740, 64 583,95 694, 104 501
Ceuta,28,11,0,0
Cezayir,2 725 095,2 068 120, 1 698 256,1 449 569
Christmas Adaları,0,0,8,3
Cibuti, 472 295, 512 307,306 967, 319 971
Cocos Adaları,107,73,0,0
Cook Adaları, 7 720, 4 281,28 497, 5 525
Curaçao,224,256,12,54
Çad, 155 401, 67 959,52 956, 41 485
Çekya,1 939 499,1 905 864, 1 649 028,1 127 694
Çin,3 305 412,3 281 335, 3 662 748,2 865 866
Danimarka,1 318 931,1 402 038, 1 301 102,1 044 125
Doğu Timor, 31 332, 30 465,814,477
Dominik, 2 472, 2 175,2 265, 1 616
Dominik Cumhuriyeti, 185 929, 324 470,233 198, 124 978
Ekvator, 92 650, 71 061,57 881, 42 944
Ekvator Ginesi, 41 406, 49 144,34 117, 38 823
El Salvador, 15 276, 15 039,41 922, 25 239
Endonezya, 409 820, 367 314,313 044, 213 799
Eritre, 39 349, 53 745,23 666, 9 913
Ermenistan, 22 639, 3 584,2 342,872
Estonya, 173 928, 195 335,126 296, 79 157
Esvatini, 1 142,994,646,440
Etiyopya, 306 981, 320 237,354 348, 231 374
Falkland Adaları,118,186,108,557
Faroe Adaları, 123 517, 57 651,625,752
Fas,3 059 352,3 094 082, 2 976 888,2 057 158
Fiji, 2 279, 1 574,4 231, 5 761
Filipinler, 208 807, 308 793,112 504, 100 310
Filistin Devleti, 132 346, 126 816,99 587, 87 070
Finlandiya, 663 239, 708 883,510 126, 370 389
Fransa,10 286 111,9 534 619, 9 111 137,7 195 168
Fransa Güney Bölgesi,57,137,394,458
Fransız Polinezyası, 8 082, 9 645,5 591, 6 601
Gabon, 69 221, 72 420,48 833, 51 575
Gambiya, 68 150, 65 417,69 630, 62 471
Gana, 268 610, 421 252,461 836, 477 530
Gine, 162 940, 166 602,223 720, 135 963
Gine Bissau, 9 708, 8 489,9 762, 8 256
Gizli Ülke,1 775 914, 990 405,0,0
Grenada, 2 552, 3 182,2 212, 1 167
Grönland,50,17,30,152
Guam, 1 920, 2 878,1 354, 1 682
Guatemala, 82 055, 88 579,132 043, 54 471
Guyana, 85 653, 84 390,68 508, 30 248
Güney Afrika Cumhuriyeti, 779 379,1 715 025,861 263, 574 029
Güney Georgia ve Sand. Adl.,11,108,12,0
Güney Kore,1 041 595,1 051 992,996 232,1 103 844
Güney Sudan, 24 641, 15 745,10 869, 6 263
Gürcistan,2 631 580,2 399 750, 1 703 745,1 461 257
Haiti, 73 778, 91 512,139 936, 164 398
Hırvatistan, 667 033, 702 017,500 900, 390 489
Hindistan,1 643 748,1 637 061, 1 304 820, 889 727
Hollanda,7 858 126,8 026 254, 6 764 786,5 195 120
Honduras, 31 656, 28 509,66 370, 40 554
Hong Kong, 868 700, 962 724, 1 055 755, 817 945
Irak,12 757 377,13 750 276, 11 125 650,9 142 047
İran,3 244 268,3 067 097, 2 770 743,2 253 118
İrlanda, 946 418,1 084 780,958 669, 654 658
İspanya,9 773 500,9 654 318, 9 619 642,6 683 488
İsrail,5 422 444,7 032 339, 6 355 775,4 704 088
İsveç,1 601 746,1 700 929, 1 688 592,1 330 185
İsviçre,2 322 063,1 334 877, 1 254 134,1 093 948
İtalya,12 374 598,12 386 045, 11 473 021,8 082 560
İzlanda, 48 942, 48 853,30 430, 18 828
Jamaika, 121 947, 188 219,168 024, 76 290
Japonya, 645 190, 664 441,521 773, 441 242
Kamboçya, 25 704, 26 258,26 334, 25 018
Kamerun, 188 730, 214 745,184 299, 158 859
Kanada,1 702 287,1 887 729, 1 687 173,1 005 387
Karadağ, 177 385, 168 905,111 109, 103 052
Katar, 790 781,1 479 394, 1 151 030,1 037 133
Kazakistan,2 956 889,1 606 303, 1 288 142, 985 615
Kenya, 263 689, 297 247,332 061, 227 998
Kırgızistan,1 200 758, 902 715,749 443, 417 526
Kiribati,14,17,351,166
Kolombiya, 202 626, 324 401,420 660, 216 479
Komorlar Birliği, 23 138, 21 669,17 308, 14 223
Kongo, 147 102, 114 306,85 306, 60 744
Kongo Demokratik Cumhuriyeti, 174 446, 94 951,53 669, 57 341
Kosova, 702 963, 672 484,553 722, 364 201
Kostarika, 96 484, 102 207,103 723, 48 522
Kotdivuar, 272 158, 416 789,430 907, 307 905
Kuveyt, 583 190, 672 910,691 394, 556 146
Kuzey Kıbrıs Türk Cum.,2 387 643,2 118 367, 1 238 381, 859 850
Kuzey Makedonya, 647 387, 698 150,570 387,331
Kuzey Mariana Adaları,3,56,3, 415 894
Küba, 61 875, 37 344,28 854, 24 992
Laos, 5 637, 1 692,1 189, 1 922
Lesotho,230,144,276,408
Letonya, 433 228, 489 141,160 975, 104 716
Liberya, 412 821, 291 314,269 008, 177 704
Libya,3 256 690,2 840 774, 2 771 261,1 653 076
Liechtenstein, 2 517, 6 222,3 366, 1 473
Litvanya, 510 843, 559 214,364 537, 305 870
Lübnan,1 605 038,2 678 005, 1 694 517, 930 695
Lüksemburg, 185 955, 129 315,76 927, 97 613
Macaristan,1 617 182,1 597 186, 1 399 016,1 263 417
Madagaskar, 121 671, 78 487,65 807, 73 862
Makao, 1 689, 11 977,14 170, 3 556
Malavi, 5 095, 5 541,4 633, 2 847
Maldivler, 33 205, 28 755,47 451, 24 864
Malezya, 489 873, 478 254,445 166, 381 913
Mali, 110 931, 107 217,86 865, 69 552
Malta,1 216 068, 855 411,738 456, 432 449
Marşal Adaları, 302 577, 275 953,149 516, 332 385
Mauritius, 86 665, 101 663,90 152, 74 590
Mayotte, 8 897, 13 629,12 163, 8 722
Meksika,1 242 497,1 080 906,839 836, 538 583
Mısır,3 337 323,4 556 656, 4 513 693,3 136 160
Mikronezya,124,42,101,35
Moğolistan, 105 582, 95 848,69 687, 31 827
Moldova, 644 176, 662 731,453 079, 335 048
Montserrat,0,0,0,0
Moritanya, 169 891, 207 582,409 407, 119 731
Mozambik, 65 172, 84 037,122 538, 76 696
Myanmar, 13 089, 20 740,21 161, 52 060
Namibya, 10 739, 17 496,3 769, 4 248
Nauru,0,0,0,0
Nepal, 42 487, 29 259,96 239, 38 836
Nijer, 74 989, 134 517,78 183, 58 875
Nijerya, 666 252, 769 104,840 747, 610 882
Nikaragua, 27 955, 13 187,17 392, 12 167
Niue Adası,150,194,82,20
Norfolk Adası,0,,,11
Norveç, 988 827, 744 019,937 571, 733 346
Orta Afrika Cumhuriyeti, 4 577, 3 893,3 709, 2 995
Özbekistan,1 871 340,1 877 543, 1 841 623,1 154 082
Pakistan, 550 616, 818 767,773 084, 620 162
Palau, 30 072, 11 324,4 891, 1 850
Panama, 385 330, 359 625,304 856, 171 515
Papua Yeni Gine, 4 294, 3 209,2 942, 4 891
Paraguay, 44 991, 49 935,87 541, 52 314
Peru, 227 216, 420 518,577 646, 231 525
Polonya,5 951 061,5 417 452, 4 673 825,3 474 726
Portekiz,1 333 394,1 498 160, 1 496 766, 924 574
Romanya,6 948 460,6 947 484, 5 175 021,3 893 981
Ruanda, 69 732, 144 629,78 561, 27 479
Rusya Federasyonu,10 907 762,9 342 796, 5 774 392,4 506 681
Samoa,732,552,961,972
San Marino,887,330,391,90
Sao Tome ve Prinsipe, 6 375, 5 460,4 558, 2 628
Senegal, 424 196, 637 344,528 956, 361 220
Seyşeller, 21 544, 12 955,12 269, 17 914
Sırbistan,1 551 054,1 771 491, 1 484 954,1 018 011
Sierra Leone, 87 666, 157 788,134 366, 76 591
Singapur, 755 305, 800 103,888 880, 343 498
Slovakya, 838 047, 759 322,663 828, 549 927
Slovenya,2 039 736,1 771 777, 1 797 077,1 641 449
Solomon Adaları,309,87,112,180
Somali, 424 944, 386 309,354 917, 271 700
Sri Lanka, 133 352, 156 402,93 865, 77 476
St. Kitts ve Nevis, 9 639, 21 503,3 781, 2 563
St. Lucia, 3 766, 1 560,2 274, 2 298
St. Vincent ve Grenadines, 12 242, 17 570,6 370, 17 566
Sudan, 347 778, 447 146,278 754, 375 462
Surinam, 38 867, 40 520,30 118, 22 066
Suriye,2 036 413,2 234 148, 2 108 339,1 595 593
Suudi Arabistan,2 618 183,1 046 453,265 400,2 505 020
Şili, 304 621, 511 273,627 322, 280 421
Tacikistan, 406 050, 388 676,258 354, 173 675
Tanzanya, 310 891, 317 720,253 975, 200 347
Tayland, 280 821, 282 268,236 224, 184 011
Tayvan, 195 761, 225 291,253 583, 235 903
Togo, 316 600, 294 696,119 523, 141 681
Trinidad ve Tobago, 83 915, 116 160,96 558, 76 007
Tunus,1 220 256,1 550 366, 1 376 258, 928 098
Tuvalu,413,581,1 217,279
Türk ve Caicos Ad., 1 393, 2 063,1 126, 1 012
Türkmenistan,1 001 251,1 099 834,984 446, 786 952
Uganda, 52 001, 64 081,59 608, 53 836
Ukrayna,3 442 034,3 059 409, 2 900 545,2 090 327
Umman, 411 904, 465 413,498 107, 525 283
Uruguay, 156 435, 134 593,115 427, 51 567
Ürdün, 819 931, 966 075,780 811, 585 367
Vallis ve Futuna,144,50,65,604
Vanuatu, 10 614, 7 096,7 133, 3 077
Venezuela, 365 439, 366 441,299 264, 235 991
Vietnam, 425 917, 343 763,336 664, 244 321
Yemen, 896 645,1 087 474, 1 097 795, 834 435
Yeni Kaledonya, 13 849, 12 178,8 664, 8 044
Yeni Zelanda, 122 959, 118 785,128 003, 104 879
Yunanistan,4 171 506,3 302 681, 3 118 900,1 799 836
Zambia, 31 517, 27 599,20 094, 20 911
Zimbabve, 23 568, 19 921,14 731, 15 347